sikuchoson,Area,T,M,F,F_T,F_M,F_F,huosehold
千葉市,213.58,977657,482184,495473,28734,13903,14831,454692
中央区,40.93,212406,106124,106282,6318,2799,3519,110786
花見川区,30.23,176997,87114,89883,4872,2473,2399,82130
稲毛区,19,160255,80087,80168,4378,2171,2207,75650
若葉区,57.41,146249,72542,73707,3952,1915,2037,65332
緑区,44.81,129697,63183,66514,1645,802,843,51806
美浜区,21.2,152053,73134,78919,7569,3743,3826,68988
銚子市,69.54,56826,27484,29342,2208,1140,1068,25251
市川市,56.22,495677,250444,245233,17585,8819,8766,244281
船橋市,82.12,644602,319113,325489,19065,9306,9759,293788
館山市,62.02,44567,21597,22970,400,111,289,20344
木更津市,95.56,136273,68536,67737,2533,1109,1424,59175
松戸市,59.5,496652,246102,250550,17320,8383,8937,233035
野田市,95.87,152191,75946,76245,3636,1854,1782,64308
茂原市,82.89,86264,42370,43894,1355,513,842,37490
成田市,165.61,131402,65564,65838,5791,2983,2808,59842
佐倉市,82.11,167088,81539,85549,3313,1523,1790,70460
東金市,71.54,57579,28929,28650,1629,783,846,25538
旭市,117.6,62979,31021,31958,1411,743,668,24505
習志野市,20.9,176465,87930,88535,4517,2084,2433,80345
柏市,105.12,430072,212407,217665,9787,4737,5050,191789
勝浦市,35.99,16441,8384,8057,160,83,77,8018
市原市,233.57,267427,137203,130224,5948,2706,3242,118655
流山市,32.6,204846,100814,104032,3276,1589,1687,85790
八千代市,45.7,201100,98744,102356,5644,2647,2997,86917
我孫子市,39.98,130244,63378,66866,1905,891,1014,57046
鴨川市,71.48,31685,15020,16665,515,188,327,14586
鎌ケ谷市,20.13,109983,53568,56415,1743,786,957,47904
君津市,112.2,81235,41302,39933,899,341,558,35276
富津市,80.71,41596,21058,20538,487,256,231,17714
浦安市,17.3,169574,82448,87126,3975,1957,2018,79970
四街道市,28.68,94231,46646,47585,2461,1380,1081,39138
袖ケ浦市,74.96,64287,32410,31877,842,414,428,25945
八街市,63.09,66606,33750,32856,2420,1236,1184,28132
印西市,100.62,104697,51608,53089,2199,998,1201,39403
白井市,30.91,61999,30651,31348,1285,718,567,24295
富里市,46.91,49236,25000,24236,2771,1424,1347,21860
南房総市,106.63,34988,16663,18325,353,102,251,14658
匝瑳市,86.75,34340,16913,17427,429,160,269,12895
香取市,209.64,71038,34947,36091,916,386,530,27548
山武市,106.72,47582,23750,23832,1062,582,480,19392
いすみ市,90.91,34913,17073,17840,462,197,265,14521
大網白里市,48.99,47808,23474,24334,661,256,405,19819
酒々井町,14.33,20534,10086,10448,466,194,272,9328
栄町,29,19879,9767,10112,257,103,154,8291
神崎町,15.83,5700,2874,2826,127,71,56,2289
多古町,54.34,13389,6763,6626,364,203,161,5017
東庄町,41.64,12956,6437,6519,236,160,76,4605
九十九里町,23.45,14261,7039,7222,289,153,136,6132
芝山町,30.75,6919,3426,3493,180,76,104,2518
横芝光町,57.24,21729,10561,11168,318,126,192,8297
一宮町,16.89,11902,5825,6077,99,32,67,5070
睦沢町,22.32,6693,3228,3465,40,7,33,2480
長生村,26.59,13616,6672,6944,101,32,69,5616
白子町,25.76,10098,5029,5069,112,58,54,4153
長柄町,24.58,6555,3230,3325,58,21,37,2518
長南町,34.88,7054,3466,3588,26,6,20,2644
大多喜町,41.15,8642,4173,4469,79,37,42,3362
御宿町,11.34,6763,3216,3547,40,15,25,3078
鋸南町,19.5,6732,3245,3487,77,31,46,2978
